"Title","Original Author","Type","Uniform Title","Translation Title","Full Translation Title","Series/Journal","Publication Year","Place of Publication","Publisher","Pagination","Princeton Call Number","URL","Edition","Notes","Translator","Original Language","ISBN","Translation Language","Genre","Century","Additional Information"
"Maximus the Confessor and his companions ","Maximus, Confessor, Saint, ca. 580-662","Book","","Maximus the Confessor and his companions ","Maximus the Confessor and his companions : documents from exile edited and translated by Pauline Allen and Bronwen Neil","Oxford early Christian texts","2002","Oxford ; New York","Oxford University Press","xiv, 210","","","","Includes bibliographical references (p. [193]-195) and indexes.
","Allen, Pauline|Neil, Bronwen","Greek","198299915","English","Saints lives","6th|7th",""
"On Aristotle Categories 7-8 ","Simplicius, of Cilicia","Book","Commentarius in Aristot. Categoriae","On Aristotle Categories 7-8 ","On Aristotle Categories 7-8 : translated by Barrie Fleet","","2002","London","Duckworth","xiv, 226","","","","Includes bibliographical references (p. [185]-186) and indexes.
","Fleet, Barrie","Greek","715630385","English","Philosophy","6th",""
"On Aristotle On the heavens 1.1-4 ","Simplicius, of Cilicia","Book","","On Aristotle On the heavens 1.1-4 ","On Aristotle On the heavens 1.1-4 : translated by R.J. Hankinson","Ancient commentators on Aristotle","2002","London","Duckworth","xi, 164","","","","Includes bibliographical references (p. [139]-140) and indexes. Translated from the Ancient Greek.
","Hankinson, R. J.","Greek","715630709","English","Philosophy","6th",""
"On Aristotle Physics 3 ","Simplicius, of Cilicia","Book","","On Aristotle Physics 3 ","On Aristotle Physics 3 : translated by J.O. Urmson, notes by Peter Lautner","Ancient commentators on Aristotle","2002","London","Duckworth","198","","","","Includes bibliographical references and indexes. Translated from the Greek.
","Urmson, J. O.|Lautner, Peter","Greek","715630679","English","Philosophy","6th",""
"On Epictetus Handbook 1-26 ","Simplicius, of Cilicia","Book","Commentarius in Enchiridion Epicteti","On Epictetus Handbook 1-26 ","On Epictetus Handbook 1-26 : translated by Charles Brittain & Tad Brennan","Ancient commentators on Aristotle","2002","London","Duckworth","viii, 184","","","","Includes bibliographical references and indexes. Simplicius' text translated from the Ancient Greek.
","Brittain, Charles|Brennan, Tad","Greek","715630687","English","Philosophy","6th",""
"On Epictetus Handbook 27-53 ","Simplicius, of Cilicia","Book","Commentarius in Enchiridion Epicteti","On Epictetus Handbook 27-53 ","On Epictetus Handbook 27-53 : translated by Charles Brittain & Tad Brennan","Ancient commentators on Aristotle","2002","Ithaca, N.Y.","Cornell University Press","viii, 192","","","","Series from jacket. Includes bibliographical references (p. [145]-147) and indexes.
","Brennan, Tad|Brittain, Charles","Greek","801439051","English","Philosophy","6th",""
"On God and Christ ","Gregory, of Nazianzus, Saint","Book","Theological orations","On God and Christ ","On God and Christ : the five theological orations and two letters to Cledonius St. Gregory of Nazianzus, translated by Frederick Williams and Lionel Wickham, with introduction and notes by Lionel Wickham","St. Vladimir's Seminary Press popular patristics series","2002","Crestwood, N.Y.","St. Vladimir's Seminary Press","175","","","","Includes bibliographical references (p. 173-175).
","Williams, Frederick|Wickham, Lionel R.","Greek","881412406","English","Speeches|Theology","4th",""
"Opening scenes of the second iconoclasm ","Nicephorus, Saint, Patriarch of Constantinople","Journal Article","","Opening scenes of the second iconoclasm ","Opening scenes of the second iconoclasm : Nicephorus's critique of the citations from Macarius Magnes, With an edition and English translation of De Magnete by Nicephorus of Constantinople from MSS. Paris, B.N.F., Coislin 93, and Paris, B.N.F. gr. 911 and gr. 1250","Revue des études byzantines 60, 65-112","2002","","","","","","","Macarius Magnes, author Nikephoros I, patriarch of Constantinople. Eastern Mediterranean. Paris, Bibliothèque nationale de France, Coislin 93 Paris, Bibliothèque nationale de France, gr.1250 Paris, Bibliothèque nationale de France, gr.911
","Featherstone, Michael","Greek","3735729","English","Iconoclasm","9th",""
"Preparation for the Gospel","Eusebius, of Caesarea, Bishop of Caesarea, ca. 260-ca. 340","Book","De evangelica praeparatione","Preparation for the Gospel","Preparation for the Gospel : translated from a revised text by Edwin Hamilton Gifford.","","2002","Eugene, Or.","Wipf and Stock","2 v.","","","","Previously published by Clarendon Press, 1903.
","Gifford, Edwin Hamilton","Greek","","English","Theology","4th",""
"Pseudo-Athanasius on virginity","Athanasius, Saint, Patriarch of Alexandria, d. 373","Book","De virginitate","Pseudo-Athanasius on virginity","Pseudo-Athanasius on virginity : edited and translated by David Brakke","Corpus scriptorum Christianorum Orientalium, 592-593. Scriptores Syri, 232-233","2002","Louvain ; Sterling, Va.","Peeters","2 v.","","","","Includes bibliographical references and index. Text in Syriac and English; notes in English.
","Brakke, David","Syriac","9042910801 | 2877236056 | 9042910917 | 2877236064","English","Theology","4th",""
"Six books on the priesthood","John Chrysostom, Saint, d. 407","Book","De sacerdotio","Six books on the priesthood","Six books on the priesthood. Translated, with an introduction by Graham Neville","","2002","Crestwood, N.Y.","St. Vladimir’s Seminary Press","160 p.","","","","""The translation is a thoroughly revised version of T.A. Moxon’s translation, published by S.P.C.K. in 1907.""
","Neville, Graham","Greek","","English","Theology","4th|5th",""
"The chronography of George Synkellos ","Geōrgios, Synkellos, fl. 800","Book","Ecloga chronographica","The chronography of George Synkellos ","The chronography of George Synkellos : a Byzantine chronicle of universal history from the creation translated with introduction and notes by William Adler and Paul Tuffin","","2002","New York ; Oxford","Oxford University Press","lxxxviii, 638","","","","","Adler, William|Tuffin, Paul","Greek","199241902","English","History","8th|9th",""
"The life of St Philaretos the merciful written by his grandson Niketas ","Philaretos, Blessed Hermit","Book","","The life of St Philaretos the merciful written by his grandson Niketas ","The life of St Philaretos the merciful written by his grandson Niketas : a critical edition with introduction, translation, notes, and indices by Lennart Rydén","Studia Byzantina Upsaliensia 8","2002","Uppsala, Sweden","Uppsala University : Distributor Uppsala University Library","143","","","","Includes bibliographical references (p. 117) and indexes. Parallel texts in Greek and English.
","Rydén, Lennart","Greek","9155452000","English","Saints lives","",""
"The sayings and stories of the Christian fathers of Egypt ","ʻAnân-Îshôʻ, 7th cent.","Book","Apophthegmata Patrum","The sayings and stories of the Christian fathers of Egypt ","The sayings and stories of the Christian fathers of Egypt : the paradise of the holy fathers compiled by ʻAnân-Îshôʻ, translated by E.A. Wallis Budge","Kegan Paul library of religion and mysticism","2002","London ; New York","Kegan Paul","2 v.","","","","Includes indexes.
","Budge, E. A. Wallis","Syriac","710307055","English","Saints lives","5th|6th",""
"The two cities ","Otto I, Bishop of Freising, d. 1158","Book","","The two cities ","The two cities : a chronicle of universal history to the year 1146 A.D.","Records of Western civilization","2002","New York","Columbia University Press","523","","","","Originally published: New York : Columbia University Press, 1928.
","Mierow, Charles Christopher","Latin","","English","Crusades","12th",""
"Theodore Metochites on ancient authors and philosophy ","Metochites, Theodoros, d. 1332","Book","Essays ","Theodore Metochites on ancient authors and philosophy ","Theodore Metochites on ancient authors and philosophy : Sameioseis gnomikai 1-26 & 71, a critical edition with introduction translation, notes, and indexes","Studia Graeca et Latina Gothoburgensia 65","2002","Göteborg","Acta Universitatis Gothoburgensis","xliv, 360","","","","Karin Hult ; with a contribution by Börje Bydén. Acta Universitatis Gothoburgensis. Includes bibliographical references (p. [289]-295) and index. Parallel text in English and Greek, introduction and notes in English. Holdings Information: No Data Available--Ask at Reference
","Hult, Karin","Greek","9173464341","English","Literature|Philosophy","13th|14th",""
"Unpublished Byzantine texts on the end of the world about the year 1000 AD","","Journal Article","","Unpublished Byzantine texts on the end of the world about the year 1000 AD","Unpublished Byzantine texts on the end of the world about the year 1000 AD","Travaux et mémoires 14, 561-578","2002","","","","","","","","Ševčenko, Ihor","Greek","","English","Science","10th",""
"[Excerpts on astrology]","Seth, Symeon","Edited Book","","[Excerpts on astrology]","[Excerpts on astrology] IN: Literacy, education and manuscript transmission in Byzantium and beyond, 51-54","","2002","Leiden ; Boston","Brill","xii, 268","","","","Translated excerpts from On the utility of the heavenly bodies and On the fixed stars
","Magdalino, Paul","Greek","9004120963","English","Astronomy|Astrology","11th",""
"Cantici di Romano il Melodo ","Romanus, Melodus, Saint, 6th cent.","Book","Kontakia","Cantici di Romano il Melodo ","Cantici di Romano il Melodo : a cura di Riccardo Maisano","Classici greci","2002","Torino","Unione tipografico-editrice torinese","2 v.","","","","Classici UTET--Ser. t.p. Includes bibliographical references (v. 1, p. [39]-54) and indexes. Text of Kontakia in Greek, with Italian translation on facing pages; introd., notes and commentary in Italian.
","Maisano, Riccardo","Greek","8802057346","Italian","Hymns","6th",""
"Il Prato","Moschus, John, ca. 550-619","Book","","Il Prato","Il Prato","Biblioteca M. D'Auria","2002","Napoli","M. D'Auria","312 p.","","","2. corretta con l'aggiunta di una appendice.","Uniform Title: Leimōn. Italian maps ; 21 cm. Facs. repr. of the 1982 ed., now with new appendix (p. 295-312). - Orig. title: Leimon. - Author's name on t. p.: Giovanni Mosco. - Cont. introduction by the editor (p. 17-57), bibliography and notes. Translation of: Leimōn./ Includes bibliographical references (p. 11-16) and indexes. Giovanni Mosco ; presentazione, traduzione e commento di Riccardo Maisano. More Records: Show record information Book
","Maisano, Riccardo","Greek","8870922057 | 9788870922059","Italian","Saints lives","6th|7th",""
"Edition critique et traduction française annotée du manuscrit de Venise de la Chronique de Leontios Machairas","Machairas, Leontios","Book","Chronicle","Edition critique et traduction française annotée du manuscrit de Venise de la Chronique de Leontios Machairas","Edition critique et traduction française annotée du manuscrit de Venise de la Chronique de Leontios Machairas","Thèse à la carte","2002","Villeneuve-d'Ascq","Presses universitaires du septentrion","2 v.","","","","Originally presented as the author's thesis (doctoral)--Université Paul Valery Montpellier III, 1998.
","Cervellin-Chevalier, Isabelle","Greek","","French","Cyprus","15th",""
"L'Akrite ","Digenis Akritas","Book","Digenis Akritas; Tou Armourē; Hyiou tou Andronikou ","L'Akrite ","L'Akrite : l'épopée byzantine de Digénis Akritas","","2002","Toulouse","Anacharsis","252","","","","version grecque traduite du grec par Paolo Odorico ; version slave traduite du vieux slave par Jean-Pierre Arrignon. Suivies du Chant d'Armouris / traduite du grec par Homère-Alexandre Théologitis ; postface de Paolo Odorico. Anacharsis
","Odorico, Paolo|Théologitis, Homère-Alexandre|Arrignon, Jean-Pierre","Greek","2914777000","French","Poems","12th",""
"Les Almogavres ","Muntaner, Ramón, d. 1336","Book","Crònica","Les Almogavres ","Les Almogavres : l'expédition des Catalans en Orient Ramon Muntaner, texte établi et traduit du catalan par Jean-Marie Barberà, postface de Charles-Henri Lavielle","","2002","Toulouse","Anacharsis","173","","","","","Barberà, Jean Marie.","Catalan","2914777019","French","History","14th",""
"Nicolas Mésaritès ","Nikolaos Mesarites, b. 1163 or 4","Journal Article","","Nicolas Mésaritès ","Nicolas Mésaritès : éthopée d’un astrologue qui ne put devenir patriarche","Travaux et mémoires 14, 221-242","2002","","","","","","","","Flusin, Bernard","Greek","","French","Speeches|Astrology","13th",""
"Epistolai ","Tzetzes, John, 12th cent.","Book","Epistles","Epistolai ","Epistolai : eisagōgē, metaphrasē, scholia","Keimena Vyzantinēs logotechnias 3","2001","Athēna","Ekdoseis Kanakē","311","","","","21 cm. Includes bibliographical references (p. [271]-298) and indexes. Iōannēs Tzetzēs.
","Grēgoriadēs Iordanēs","Greek","9607420683 | 9789607420688","Greek (Modern)","Letters","12th",""
"Erga katastraphenta hypo tōn Latinōn","Choniates, Nicetas, ca. 1140-1213","Book","History of the times ","Erga katastraphenta hypo tōn Latinōn","Erga katastraphenta hypo tōn Latinōn","Pieros. 1 (Supplement) ","2001","Athens","Pieros","32","","","","Nikētas Chōniatēs ; metaphrasē: Giannēs Kotsiphos. Pieros. Issued as a supplement to: Pieros 1 (Anoixē/Kalokairi 2001).
","Kotsiphos, Giannēs","Greek","","Greek (Modern)","History","12th|13th",""
"Timariōn, ē, Peri tōn kat'auton pathēmatōn eisagōgē, metaphrasē, scholia Petros Vlachakos","Timarion","Book","","Timariōn, ē, Peri tōn kat'auton pathēmatōn eisagōgē, metaphrasē, scholia Petros Vlachakos","Timariōn, ē, Peri tōn kat'auton pathēmatōn eisagōgē, metaphrasē, scholia Petros Vlachakos","Vyzantinoi syngrapheis 1","2001","Thessalonikē","Zētros","276","","","","Includes bibliographical references (p. 247-276). Introduction and notes in Modern Greek; Modern Greek translation of ancient Greek on facing pages.
","Vlachakos, Petros","Greek","9607760697","Greek (Modern)","Satire","12th",""
"Tymvōrychoi kai skyleutes nekrōn","Kataphloron, Nicholas","Journal Article","","Tymvōrychoi kai skyleutes nekrōn","Tymvōrychoi kai skyleutes nekrōn : hoi apopseis tou Nikolaou Kataphlōron gia tē rhētorikē kai tous rhētores stēn Kōnstantinoupolē tou 12ou aiōna","Symmeikta 14, 143-166","2001","","","","","http://byzsym.org/index.php/bz/article/view/877/773","","Translation of Scorialensis Y.II.10 ff. 324-325v.
","Loukaki, Marina","Greek","","Greek (Modern)","Rhetoric","12th",""
"Zwei Briefe suchen ihren Empfänger","Prodromus, Theodore","Journal article","","Zwei Briefe suchen ihren Empfänger","Zwei Briefe suchen ihren Empfänger : wem schrieb Theodoros Prodromos (Epp. 10 und 11 PG)?  Mit Anhang, Neuedition der beiden Schreiben","Jahrbuch der Österreichischen Byzantinistik 51, 199-214","2001","","","","","","","","Grünbart, Michael","Greek","","German","Letters","12th",""
"A conundrum of cats ","","Journal Article","","A conundrum of cats ","A conundrum of cats : pards and their relatives in Byzantium","Greek, Roman and Byzantine Studies, 40:3, 253-298","2001","","","","","","","Pantechnes, Constantine, metropolitan of Philippopolis Timotheos of Gaza, grammarian Diegesis ton tetrapodon zoon, poem. Eastern Mediterranean; Argues that the Greek term pardos primarily referred to a cheetah rather than a leopard, examining characteristic references to the pard in Byzantine literature, such as Constantine Pantechnes's Ekphrasis, the zoological writings of Theodore of Gaza and the 14c. poem Diegesis ton tetrapodon zoon. With translation of the relevant passage of the Ekphrasis
","Nicholas, Nick","Greek","","English","Animals","",""
"Aspasius, Anonymous, Michael of Ephesus ","Aspasius|Anonymous|Michael, of Ephesus","Book","","Aspasius, Anonymous, Michael of Ephesus ","Aspasius, Anonymous, Michael of Ephesus : on Aristotle Nicomachean ethics 8 and 9 translated by David Konstan","Ancient commentators on Aristotle","2001","London","Duckworth","[vii], 239","","","","Title from jacket and spine. Includes bibliographical references and index. Translated from the Ancient Greek.
","Konstan, David","Greek","715630717","English","Philosophy","11th|12th",""
"Eustathian panegyric as a historical source","Eustathius, Archbishop of Thessalonica, d. ca. 1194","Journal article","","Eustathian panegyric as a historical source","Eustathian panegyric as a historical source","Jahrbuch der Österreichischen Byzantinistik 51, 225-258","2001","","","","","","","Several translated excerpts.
","Stone, Andrew F.|Subiaco, W. A.","Greek","","English","History","12th",""
"John Philoponus and the controversies over Chalcedon in the sixth century ","Philoponus, John, 6th cent.","Book","","John Philoponus and the controversies over Chalcedon in the sixth century ","John Philoponus and the controversies over Chalcedon in the sixth century : a study and translation of the Arbiter","Spicilegium sacrum Lovaniense. Etudes et documents 47","2001","Leuven","Spicilegium Sacrum Lovaniense : Peeters","x, 261","","","","Originated as the author's thesis (doctoral)--University of Oxford. Includes bibliographical references and indexes.
","Lang, Uwe Michael","Greek","9042910240","English","Theology","6th",""
"Life of St. George of Amastris","George, of Amastris","Website","","Life of St. George of Amastris","Life of St. George of Amastris","","2001","","University of Notre Dame","","","http://www.library.nd.edu/byzantine_studies/documents/Amastris.pdf","","","Jenkins, David|Alexopoulos, Stefanos|Bachrach, David|Couser, Jonathan|Davis, Sarah|Hayton, Darin|Sterk, Andrea","Greek","","English","Saints lives|Rus","8th",""
"Michael Psellos on Rhetoric ","Psellus, Michael","Journal Article","","Michael Psellos on Rhetoric ","Michael Psellos on Rhetoric : A Translation and Commentary on Psellos' Synopsis of Hermogenes","Rhetoric Society Quarterly 31:1 (Winter), 5-40","2001","","","","","","","","Walker, Jeffrey","Greek","","English","Rhetoric","11th",""
"On Aristotle Categories 5-6 ","Simplicius, of Cilicia","Book","Commentarius in Aristot. Categoriae","On Aristotle Categories 5-6 ","On Aristotle Categories 5-6 : translated by Frans A.J. de Haas & Barrie Fleet","Ancient commentators on Aristotle","2001","London","Duckworth","169","","","","Includes bibliographical references (p. [153]-154) and indexes.
","Haas, Frans A. J. de|Fleet, Barrie","Greek","715630377","English","Philosophy","6th",""
"On Aristotle Physics 8.6-10 ","Simplicius, of Cilicia","Book","","On Aristotle Physics 8.6-10 ","On Aristotle Physics 8.6-10 : translated by Richard McKirahan","Ancient commentators on Aristotle","2001","London","Duckworth","247","","","","Series statement from jacket. Includes bibliographical references (p. [182]-183) and indexes.
","McKirahan, Richard D.","Greek","715630393","English","Philosophy","6th",""
"On the eternity of the world = De aeternitate mundi Proclus ","Proclus, ca. 410-485","Book","De aeternitate mundi","On the eternity of the world = De aeternitate mundi Proclus ","On the eternity of the world = De aeternitate mundi Proclus : Greek text with introduction, translation, and commentary by Helen S. Lang and A.D. Macro, argument I translated from the Arabic by Jon McGinnis","The Joan Palevsky imprint in classical literature","2001","Berkeley, Calif.","University of California Press","xii, 189","","","","Includes bibliographical references and indexes.
","Lang, Helen S.|Macro, A. D.|McGinnis, Jon","Greek","520225546","English","Philosophy","5th",""
"Politics, philosophy, and empire in the fourth century ","Themistius","Book","Orationes","Politics, philosophy, and empire in the fourth century ","Politics, philosophy, and empire in the fourth century : select orations of Themistius","Translated texts for historians 36","2001","Liverpool","Liverpool University Press;","xvii, 361","","","","translated with an introduction by Peter Heather and David Moncur. Liverpool University Press. Includes bibliographical references (p. [335]-347) and index. Translated from the Greek.
","Heather, P. J.|Moncur, David","Greek","853231060","English","Speeches","4th",""
"The Armenian adaptation of the Ecclesiastical history of Socrates Scholasticus ","Socrates, Scholasticus, ca. 379-ca. 440","Book","Pʻokʻr Sokrat","The Armenian adaptation of the Ecclesiastical history of Socrates Scholasticus ","The Armenian adaptation of the Ecclesiastical history of Socrates Scholasticus : commonly known as ""The shorter Socrates"" translation of the Armenian text and commentary by Robert W. Thomson","Hebrew University Armenian studies 3","2001","Sterling, Va.","Peeters","xxii, 254","","","","Includes bibliographical references ([231]-244). English translation from Armenian.
","Thomson, Robert W.","Armenian","9042910275","English","Church history","5th",""
"Iohannidos ","Corippus, Flavius Cresconius","Book","Johannis : Liber 3","Iohannidos ","Iohannidos : Liber III","Serie dei classici greci e latini Testi con commento filologico nuova ser. 8","2001","Firenze","F. Le Monnier","336","","","","Flavii Cresconii Corippi ; a cura di Chiara O. Tommasi Moreschini. Includes bibliographical references (p. [295]-330) and indexes. Contains the original Latin text (p. 46-62) with Italian translation (p. 62-73); notes and commentary in Italian. (c) Casalini Libri, CP 12, 50014 Fiesole (Italy). Email: libri at casalini.it
","Tommasi Moreschini, Chiara O.","Latin","880081297X","Italian","Poems|History","6th",""
"Le due Rome ","Chrysoloras, Manuel, ca. 1350-1415","Book","","Le due Rome ","Le due Rome : confronto tra Roma e Costantinopoli, con la traduzione latina di Francesco Aleardi, a cura di Francesca Niutta","2000 Viaggi a Roma 7","2001","Bologna","Pàtron","96","","","","With facing Italian translation. Includes bibliographical references (p. [89]-96). Italian, Latin.
","Niutta, Francesca","Greek|Latin","8855526588","Italian","History|Politics and government","14th|15th",""
"Un filologo di Bisanzio e il suo committente ","Anonymous Professor","Journal Article","","Un filologo di Bisanzio e il suo committente ","Un filologo di Bisanzio e il suo committente : la lettera 88 dell'Anonimo di Londra. Edition, translation and commentary on letter 88 of the so-called Anonymous Professor","Medioevo greco 1, 97-138","2001","","","","","","","Anonymus Londinensis, medical writer. Eastern Mediterranean
","Cortassa, Guido","Greek","1593456X","Italian","Letters|Education","10th",""
"Vita di Alessandro il Macedone a cura di Carlo Franco ","Pseudo-Callisthenes","Book","Historia Alexandri Magni","Vita di Alessandro il Macedone a cura di Carlo Franco ","Vita di Alessandro il Macedone a cura di Carlo Franco : con una nota di Luciano Canfora","La città antica 28","2001","Palermo","Sellerio","251","","","","Includes bibliographical references (p. 65-75). Italian translation of the Historia Alexandri Magni; introduction and notes in Italian.
","Franco, Carlo.","Greek","8838916756","Italian","Romances","10th|11th|12th|13th|14th",""
"Basilii Minimi in Gregorii Nazianzeni orationem xxxviii commentarii","Basil, the Younger, Saint, d. 944","Book","","Basilii Minimi in Gregorii Nazianzeni orationem xxxviii commentarii","Basilii Minimi in Gregorii Nazianzeni orationem xxxviii commentarii","Corpus Christianorum. Series Graeca 46. Corpus Nazianzenum 13","2001","Turnhout Leuven","Brepols","lxxxiii, 196","","","","editi a Thomas S. Schmidt. Brepols ; University Press. Includes bibliographical references and index. Introduction and notes in French; text of Basil in Greek, with French translation.
","Schmidt, Thomas S.","Greek","2503404618 | 2503404626 | 2503400000","French","Speeches","4th",""
"Commentaire sur le Manuel d'Epictète ","Simplicius, of Cilicia","Book","Commentarius in Enchiridion Epicteti","Commentaire sur le Manuel d'Epictète ","Commentaire sur le Manuel d'Epictète : texte établi et traduit par Ilsetraut Hadot","Collection des universités de France. Série grecque 411","2001","Paris","Belles lettres","v.","","","","Princeton has variant printings. Includes bibliographical references (v. 1, p. [clxiii]-clxx). Parallel Greek text and French translation on facing pages numbered in duplicate, with commentary and notes in French.
","Hadot, Ilsetraut","Greek","2251004939","French","Philosophy","6th",""
"Commentaires sur les Catégories d'Aristote, Chapitres 2-4 ","Simplicius, of Cilicia","Book","Commentarius in Aristot. Categoriae","Commentaires sur les Catégories d'Aristote, Chapitres 2-4 ","Commentaires sur les Catégories d'Aristote, Chapitres 2-4 : traduction par Philippe Hoffmann, avec la collaboration de I. Hadot et P. Hadot, commentaire par Concetta Luna","Anagôgê 1","2001","Paris","Belles lettres","xix, 917","","","","Includes bibliographical references and indexes.
","Hoffmann, Philippe|Hadot, Ilsetraut|Hadot, Pierre|Luna, Concetta","Greek","225118001X","French","Philosophy","6th",""
"Gregorii presbyteri vita sancti Gregorii theologi","Gregory, of Nazianzus, Saint","Book","Vita Sancti Gregorii Theologi","Gregorii presbyteri vita sancti Gregorii theologi : quam edidit et Gallice reddidit Xavier Lequeux","Gregorii presbyteri vita sancti Gregorii theologi : quam edidit et Gallice reddidit Xavier Lequeux","Corpus Christianorum. Series Graeca 44. Corpus Nazianzenum 11","2001","Turnhout Leuven","Brepols ; University Press","xxii, 283","","","","Based on the author's thesis (doctoral)--Université catholique de Louvain, 1999. Includes bibliographical references and indexes. Texts in Greek with French translation; introductory and editorial matter in French.
","Lequeux, Xavier","Greek","2503404413 | 2503404421 | 2503400000","French","Saints lives","4th",""
"Hymnes sur la nativité Ephrem de Nisibe ","Ephraem, Syrus, 303-373","Book","","Hymnes sur la nativité Ephrem de Nisibe ","Hymnes sur la nativité Ephrem de Nisibe : introduction par François Graffin, traduction du syriaque et notes par François Cassingena-Trévedy","Sources chrétiennes 459","2001","Paris","Editions du Cerf","344","","","","","Graffin, François|Cassingena, François","Syriac","2204066753","French","Hymns","4th",""
"Idéologie politique, production littéraire et patronage au Xe siècle","Evaristos|Constantine VII Porphyrogenitus, Emperor of the East, 905-959","Journal Article","","Idéologie politique, production littéraire et patronage au Xe siècle","Idéologie politique, production littéraire et patronage au Xe siècle : l'empereur Constantin VII et le synaxariste Évariste","Medioevo greco 1, 199-219","2001","","","","","","","Translation of a synaxarion preface.
","Odorico, Paolo","Greek","","French","Saints lives|Politics and government|Literature","10th",""
"Lettres à une princesse et discours monastiques","Theoleptos, Metropolitan of Philadelphia, ca. 1250-ca. 1326","Book","","Lettres à une princesse et discours monastiques","Lettres à une princesse et discours monastiques","Pères dans la foi 81-82","2001","Paris","Éditions Migne","","","","","","Congourdeau, Marie-Hélène|Molinier, Nicolas","Greek","","French","Letters|Monasticism","13th|14th",""
"Moines et monasteries géorgiens du 9e siècle ","Grigol, of Xancta, Saint","Journal Article","","Moines et monasteries géorgiens du 9e siècle ","Moines et monasteries géorgiens du 9e siècle : la vie de saint Grigol de Xancta","Revue des études byzantines 59, 5-95 ","2001","","","","","","","","Martin-Hisard, Bernadette","Georgian","","French","Monasticism","9th|10th",""
"Oeuvres spirituelles ","Dorotheus, of Gaza, Saint, 6th cent.","Book","","Oeuvres spirituelles ","Oeuvres spirituelles : introduction, texte grec, traduction et notes par Lucien Regnault et Jacques de Préville","Sources chrétiennes 92","2001","Paris","Editions du Cerf","579","","","Rémpression du la première éd. revue et corrigée.","Text in Greek and French. Includes bibliographical references and indexes.
","Regnault, Lucien|Préville, J. de","Greek","2204069159","French","Saints lives","6th",""
"Une version byzantine du traité sur l'astrolabe du pseudo-Messahalla par Anne Tihon, Régine Leurquin et Claudy Scheuren","Māshāʹallāh, 730?-815?","Book","","Une version byzantine du traité sur l'astrolabe du pseudo-Messahalla par Anne Tihon, Régine Leurquin et Claudy Scheuren","Une version byzantine du traité sur l'astrolabe du pseudo-Messahalla par Anne Tihon, Régine Leurquin et Claudy Scheuren","Corpus des astronomes byzantins 10","2001","Louvain-la-Neuve","Bruylant-Academia","96","","","","Includes bibliographical references (p. 91-92).
","Tihon, Anne|Leurquin, Régine|Scheuren, Claudy","Greek","2872096299","French","Astronomy","8th|9th",""
"Eis tēn halōsin tēs Thessalonikēs","Iōannēs, Kameniatēs","Book","","Eis tēn halōsin tēs Thessalonikēs","Eis tēn halōsin tēs Thessalonikēs","Keimena Vyzantinēs historiographias 10 ","2000","Athēna","Ekdoseis Kanakē","203","","","","21 cm.; Note(s): Includes bibliographical references and indexes.; metaphrasē, eisagōgē, scholia, Eudoxos Tsolakēs.
","Tsolakēs, Eudoxos Th.","Greek","9789607420640","Greek (Modern)","History|Constantinople","10th",""
"Historia","Leo, the Deacon, b. ca. 950","Book","","Historia","Historia","Keimena Vyzantinēs historiographias  ","2000","Athēna","Ekdoseis Kanakē","433","","","","21 cm.; Note(s): Medieval Greek text with Modern Greek translation.; metaphrasē, eisagōgē, scholia Vrasidas Karalēs.
","Karalēs, Vrasidas","Greek","9789607420633","Greek (Modern)","History","10th",""
"Theophanous Nikaias Apodeixis hoti edynato ex aïdiou gegenēsthai ta onta kai anatropē tautēs ","Theophanes, Bishop of Nicaea, d. 1381","Book","","Theophanous Nikaias Apodeixis hoti edynato ex aïdiou gegenēsthai ta onta kai anatropē tautēs ","Theophanous Nikaias Apodeixis hoti edynato ex aïdiou gegenēsthai ta onta kai anatropē tautēs : editio princeps, eisagōgē, keimeno, metaphrasē, euretēria Iōannēs D. Polemēs","Corpus philosophorum Medii Aevi. Vyzantinoi philosophoi = Philosophi Byzantini 10","2000","Athēna Paris, France Bruxelles, Belgique","Akadēmia Athēnōn ; J. Vrin distributor ; Ousia distributor","vi, 123, 116","","","","Includes bibliographical references and indexes. Text, introductory materials, and notes in Greek; summary in English.
","Polemēs, Iōannēs D.","Greek","9607099885 | 2711699536 | 2870600801","Greek (Modern)","Theology","14th",""
"Vivliothēkē ","Photius ca. 820-ca. 891","Book","Bibliotheca ","Vivliothēkē ","Vivliothēkē : hosa tēs historias anthologia","Keimena Vyzantinēs logotechnias 2","2000","Athēna","Ekdoseis Kanakē","511","","","","eisagōgē, metaphrasē, scholia Stephanos Euthymiadēs. Ekdoseis Kanakē. Includes bibliographical references (p. 41-44) and index. Introduction, notes and translation in Modern Greek; Modern Greek translation of Ancient Greek text on facing pages.
","Efthymiadis, Stephanos","Greek","9607420578","Greek (Modern)","Literature","9th",""
"Ein griechischer Brief eines veroneser Humanisten anlässlich Bessarions Schift 'In calumniatorem Platonis'","Hilarion, Veronensis, ca. 1440-ca. 1484","Journal article","","Ein griechischer Brief eines veroneser Humanisten anlässlich Bessarions Schift 'In calumniatorem Platonis'","Ein griechischer Brief eines veroneser Humanisten anlässlich Bessarions Schift 'In calumniatorem Platonis'","Jahrbuch der Österreichischen Byzantinistik 50, 217-230","2000","","","","","","","","Strobl, Wolfgang","Greek","","German","Letters|Philosophy","15th",""
